N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
2695,Brant Leitnaker,Indiana St.,MVC,24,17.9,89.9,17,37,44.29,10.3,10.8,5,19.6,16,22,0.727,17,46,0.37,0,0,0,3,0.8,47.8,0.107498,87.6253,4.8,5759,0.41659999,107.696,106.197,0.642417,34.0093,-4.30317,-3.31221,-0.990959,-4.55786,9.4167,-3.40657,-1.15129,0.7917,0.8333,1.625,0.2083,0.125,0.25,2.0833,0,0,BAJO
2696,Josiah Whitehead,Robert Morris,NEC,35,42.3,93.7,16.3,48.1,53.37,7.4,11.7,7.1,26.3,47,71,0.662,50,103,0.485,0,1,0,1,1.4,68.3,0.107361,86.0965,3.4,5774,0.53483641,100.495,103.471,1.33768,94.678,-4.26167,-3.31044,-0.951238,-3.31501,16.9714,-2.38205,-0.932953,0.9714,1.6857,2.6571,0.6571,0.4,0.1429,4.2,0.0995871,0.161812297734628,BAJO
2697,Ryan Martin,Maine,AE,9,2.8,90.8,26.1,50,50,3.6,10.3,16.9,21.1,0,0,0,3,5,0.6,3,10,0.3,0,1.9,0,0.159803,96.8268,0,5775,0.6666667,108.503,107.605,0.237447,4.8445,-6.08151,-0.727233,-5.35428,1.00114,3.6667,3.66817,-2.66702,0.1111,0.3333,0.4444,0.2222,0.1111,0,1.6667,18.3446,0.35,MEDIO
2698,Nick Petkovich,Lafayette,Pat,21,11.6,90.1,22.9,54.6,55.03,5.7,14.4,7.5,25.1,2,3,0.667,10,20,0.5,13,34,0.382,5.3,2.9,5.6,0.183345,92.1925,6.9,5776,0.28573572,99.5419,103.718,0.521632,31.1747,-2.47227,-2.44047,-0.0317974,-1.28188,6.6667,-0.923506,-0.358372,0.3333,0.8095,1.1429,0.1905,0.3333,0.3333,2.9048,14.0196,0.357843137254902,MEDIO
2699,Ryan Willen,Lafayette,Pat,30,57,103.9,22.3,48.8,54.96,9.1,15.5,12.2,18.8,79,102,0.775,54,122,0.443,32,87,0.368,0.5,1.8,48.8,1.72054,106.009,4.7,5777,0.700006,104.099,109.641,1.31565,127.858,-1.5036,0.8318,-2.3354,-1.46337,22.9,0.746212,-2.20958,1.8333,3,4.8333,1.1667,0.7,0.1,9.4333,7.30061,0.331449029583569,MEDIO
2700,Doran Mitchell,Maine,AE,11,2.6,29.6,12.1,0,33.9,0,7.3,0,64.5,2,2,1,0,1,0,0,1,0,0,2,100,-0.583343,24.6149,2.6,5779,0,109.325,108.985,0.168999,4.36022,-14.5983,-11.4186,-3.17972,-14.5446,2.8182,-10.8417,-3.70289,0,0.1818,0.1818,0,0.0909,0,0.1818,1.97557,0,BAJO
2701,Andrew Rogers,Maine,AE,26,31.9,74.5,13.6,39.7,41.85,2.5,5.1,26.6,42.7,8,16,0.5,5,17,0.294,7,22,0.318,0,1.1,41,-0.888016,66.2784,4.1,5780,1.41665462,112.005,115.04,0.554247,45.4584,-10.5293,-5.24675,-5.28252,-9.1268,14.5,-5.57466,-3.55215,0.3077,0.6538,0.9615,1.9615,0.2692,0,1.5,3.54241,0.257130124777184,BAJO
2702,A.J. Gasporra,UTSA,Slnd,13,6.6,91.1,15.6,71.9,71.88,1.4,3.1,7.9,42.1,0,0,0,1,4,0.25,7,12,0.583,0,0.7,0,-0.0144556,83.5593,4.1,5781,0.33338148,108.625,110.041,0.331451,9.78588,-6.39703,-3.45879,-2.93824,-5.32592,6,-2.00925,-3.31666,0.0769,0.1538,0.2308,0.2308,0.0769,0,1.7692,8.79172,0.375,MEDIO
2703,Josh Bonney,UTSA,Slnd,29,51.4,116.1,13.6,56.9,59.94,11.5,11.7,1,16,38,55,0.691,62,109,0.569,0,0,0,1.7,1.2,50.5,1.39575,103.848,5.8,5782,0.13037448,103.448,105.619,1.47185,101.638,-1.63233,-0.297548,-1.33478,-2.52831,20.8966,-1.41107,-1.11724,2.2069,2.0345,4.2414,0.1034,0.4483,0.3448,5.5862,0,0,BAJO
2704,Josh Smith,Savannah St.,ind,4,3,50,18.2,33.3,37.97,0,30.5,29,56.2,1,2,0.5,1,3,0.333,0,0,0,3.9,6.1,66.7,-0.984034,46.4558,8,5785,0.8,81.5539,89.979,0.944393,9.01036,-4.56578,-11.6798,7.11406,-2.9552,7.5,-10.5607,7.60553,0,1.75,1.75,1,0.75,0.25,0.75,0,0,BAJO
